player,squad,position,games,minutes,minutes_90s,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_assists_pens_per90,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,xg_net,cost,points,ppg,ppc
Glenn Murray,Brighton,FW,23.0,797.0,8.9,0.0,0.0,0.0,0.0,0.11,0.11,0.23,0.23,0.24,0.06,0.3,0.24,0.3,-1.1,5.0,0.0,0.0,0.0
Marvelous Nakamba,Aston Villa,MF,29.0,1836.0,20.4,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,-0.2,4.5,0.0,0.0,0.0
Wilfred Ndidi,Leicester City,MF,32.0,2674.0,29.7,0.0,0.0,6.0,0.0,0.07,0.03,0.1,0.1,0.06,0.01,0.07,0.06,0.07,0.2,5.0,5.0,0.15625,1.0
Tanguy Ndombele,Tottenham,MF,21.0,1009.0,11.2,0.0,0.0,3.0,0.0,0.18,0.18,0.36,0.36,0.04,0.11,0.14,0.04,0.14,1.6,6.0,1.0,0.047619047619047616,0.16666666666666666
Pedro Neto,Wolves,"FW,MF",29.0,939.0,10.4,0.0,0.0,3.0,0.0,0.29,0.29,0.58,0.58,0.19,0.22,0.41,0.19,0.41,1.0,5.5,8.0,0.27586206896551724,1.4545454545454546
Rúben Neves,Wolves,MF,38.0,3056.0,34.0,0.0,0.0,9.0,0.0,0.06,0.06,0.12,0.12,0.05,0.06,0.11,0.05,0.11,0.3,5.5,3.0,0.07894736842105263,0.5454545454545454
Mark Noble,West Ham,MF,33.0,2674.0,29.7,3.0,3.0,5.0,0.0,0.13,0.1,0.24,0.13,0.09,0.1,0.19,0.02,0.12,1.2,5.0,2.0,0.06060606060606061,0.4
Oliver Norwood,Sheffield Utd,MF,38.0,3090.0,34.3,1.0,1.0,8.0,0.0,0.03,0.03,0.06,0.03,0.04,0.12,0.17,0.02,0.14,-0.5,5.0,2.0,0.05263157894736842,0.4
Divock Origi,Liverpool,FW,28.0,717.0,8.0,0.0,0.0,1.0,0.0,0.5,0.13,0.63,0.63,0.25,0.03,0.28,0.25,0.28,2.0,5.4,0.0,0.0,0.0
Alex Oxlade-Chamberlain,Liverpool,"MF,FW",30.0,1485.0,16.5,0.0,0.0,1.0,0.0,0.24,0.06,0.3,0.3,0.19,0.08,0.27,0.19,0.27,0.9,6.5,0.0,0.0,0.0
Mesut Özil,Arsenal,MF,18.0,1438.0,16.0,0.0,0.0,1.0,0.0,0.06,0.13,0.19,0.19,0.08,0.14,0.22,0.08,0.22,-0.3,6.9,0.0,0.0,0.0
Nicolas Pépé,Arsenal,FW,31.0,2010.0,22.3,1.0,1.0,4.0,0.0,0.22,0.27,0.49,0.45,0.21,0.2,0.41,0.17,0.37,0.3,7.8,2.0,0.06451612903225806,0.25641025641025644
Andreas Pereira,Manchester Utd,"MF,FW",25.0,1484.0,16.5,0.0,0.0,3.0,0.0,0.06,0.18,0.24,0.24,0.15,0.24,0.39,0.15,0.39,-1.4,5.0,0.0,0.0,0.0
Ayoze Pérez,Leicester City,"MF,FW",33.0,2004.0,22.3,1.0,1.0,0.0,0.0,0.36,0.18,0.54,0.49,0.25,0.17,0.42,0.22,0.39,2.3,6.5,5.0,0.15151515151515152,0.7692307692307693
