player,position,squad,games,minutes,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,xg_per90,xa_per90,xg_xa_per90,dribble_tackles_pct,pressure_regain_pct,tackle_perc,block_int_clear,cost,points,ppg,ppc
Phil Jones,DF,Manchester Utd,2.0,135.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,100.0,50.0,0.5,24.0,5.0,0.0,0.0,0.0
James Justin,DF,Leicester City,13.0,1012.0,1.0,0.0,0.0,0.09,0.09,0.03,0.11,0.14,56.5,36.1,0.5428571428571428,64.0,4.6,16.0,1.2307692307692308,3.4782608695652177
Michael Keane,DF,Everton,31.0,2559.0,3.0,0.0,0.07,0.0,0.07,0.06,0.02,0.08,55.6,34.4,0.6341463414634146,306.0,5.0,13.0,0.41935483870967744,2.6
Martin Kelly,DF,Crystal Palace,19.0,1549.0,0.0,0.0,0.0,0.06,0.06,0.0,0.05,0.06,41.4,34.8,0.75,167.0,4.4,0.0,0.0,0.0
Max Kilman,DF,Wolves,3.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,29.4,0.75,23.0,4.0,0.0,0.0,0.0
Sead Kolašinac,DF,Arsenal,26.0,1701.0,4.0,0.0,0.0,0.11,0.11,0.03,0.05,0.09,48.0,29.1,0.5142857142857142,92.0,4.9,2.0,0.07692307692307693,0.4081632653061224
Ezri Konsa,DF,Aston Villa,25.0,2039.0,3.0,0.0,0.04,0.09,0.13,0.07,0.02,0.09,37.5,32.6,0.6666666666666666,159.0,4.5,15.0,0.6,3.3333333333333335
Emil Krafth,DF,Newcastle Utd,17.0,1020.0,0.0,0.0,0.0,0.09,0.09,0.03,0.04,0.06,28.6,29.9,0.6,69.0,4.5,0.0,0.0,0.0
Aymeric Laporte,DF,Manchester City,15.0,1097.0,1.0,0.0,0.08,0.0,0.08,0.03,0.01,0.04,53.8,41.9,0.6666666666666666,64.0,6.0,0.0,0.0,0.0
Jamaal Lascelles,DF,Newcastle Utd,24.0,2076.0,5.0,0.0,0.04,0.0,0.04,0.01,0.01,0.02,35.7,36.8,0.5555555555555556,231.0,4.5,6.0,0.25,1.3333333333333333
