player,squad,position,games,minutes,minutes_90s,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_assists_pens_per90,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,xg_net,cost,points,ppg,ppc,pen_conv
John Fleck,Sheffield Utd,MF,30.0,2516.0,28.0,0.0,8.0,0.0,0.18,0.07,0.25,0.25,0.12,0.12,0.24,0.12,0.24,1.7,6.0,101.0,3.3666666666666667,16.833333333333332,0.0
Phil Foden,Manchester City,"FW,MF",23.0,901.0,10.0,0.0,0.0,0.0,0.5,0.2,0.7,0.7,0.43,0.2,0.63,0.43,0.63,0.7,6.5,69.0,3.0,10.615384615384615,0.0
Pablo Fornals,West Ham,"MF,FW",36.0,2172.0,24.1,0.0,3.0,0.0,0.08,0.21,0.29,0.29,0.12,0.09,0.2,0.12,0.2,-0.8,6.5,93.0,2.5833333333333335,14.307692307692308,0.0
Ryan Fraser,Bournemouth,"MF,FW",28.0,2067.0,23.0,0.0,2.0,0.0,0.04,0.17,0.22,0.22,0.14,0.18,0.32,0.14,0.32,-2.2,6.0,73.0,2.607142857142857,12.166666666666666,0.0
Dwight Gayle,Newcastle Utd,FW,20.0,850.0,9.4,0.0,2.0,0.0,0.42,0.21,0.64,0.64,0.48,0.08,0.56,0.48,0.56,-0.5,6.0,58.0,2.9,9.666666666666666,0.0
Anwar El Ghazi,Aston Villa,"FW,MF",34.0,2051.0,22.8,1.0,3.0,0.0,0.18,0.18,0.35,0.31,0.26,0.12,0.38,0.22,0.34,-1.8,6.0,93.0,2.735294117647059,15.5,1.0
Olivier Giroud,Chelsea,FW,18.0,993.0,11.0,0.0,1.0,0.0,0.73,0.0,0.73,0.73,0.61,0.12,0.73,0.61,0.73,1.3,7.0,68.0,3.7777777777777777,9.714285714285714,0.0
André Gomes,Everton,MF,19.0,1458.0,16.2,0.0,6.0,0.0,0.0,0.06,0.06,0.06,0.02,0.05,0.06,0.02,0.06,-0.2,5.5,39.0,2.0526315789473686,7.090909090909091,0.0
Jack Grealish,Aston Villa,"FW,MF",36.0,3233.0,35.9,1.0,8.0,0.0,0.22,0.17,0.39,0.39,0.18,0.19,0.37,0.16,0.35,1.6,7.0,149.0,4.138888888888889,21.285714285714285,0.0
Mason Greenwood,Manchester Utd,FW,31.0,1320.0,14.7,0.0,0.0,0.0,0.68,0.07,0.75,0.75,0.25,0.05,0.3,0.25,0.3,6.3,7.5,103.0,3.3225806451612905,13.733333333333333,0.0
Pascal Groß,Brighton,"FW,MF",29.0,1796.0,20.0,0.0,4.0,0.0,0.1,0.2,0.3,0.3,0.09,0.26,0.35,0.09,0.35,0.2,6.0,76.0,2.6206896551724137,12.666666666666666,0.0
