player,position,squad,games,minutes,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,xg_per90,xa_per90,xg_xa_per90,dribble_tackles_pct,pressure_regain_pct,tackle_perc,block_int_clear,cost,points,ppg,ppc
Shane Duffy,DF,Brighton,19.0,1238.0,2.0,0.0,0.07,0.0,0.07,0.11,0.0,0.11,22.2,34.0,0.5625,158.0,4.5,44.0,2.3157894736842106,9.777777777777779
Paul Dummett,DF,Newcastle Utd,16.0,1228.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,60.0,24.5,0.21428571428571427,133.0,4.5,44.0,2.75,9.777777777777779
Lewis Dunk,DF,Brighton,36.0,3230.0,9.0,0.0,0.08,0.08,0.17,0.12,0.03,0.15,31.7,43.1,0.6511627906976745,287.0,5.0,128.0,3.5555555555555554,25.6
John Egan,DF,Sheffield Utd,36.0,3187.0,5.0,1.0,0.06,0.0,0.06,0.06,0.0,0.07,46.7,34.1,0.6,399.0,5.0,133.0,3.6944444444444446,26.6
Ahmed Elmohamady,DF,Aston Villa,18.0,1031.0,1.0,0.0,0.09,0.09,0.17,0.02,0.23,0.25,45.5,25.7,0.68,53.0,4.5,39.0,2.1666666666666665,8.666666666666666
Björn Engels,DF,Aston Villa,17.0,1447.0,1.0,0.0,0.06,0.0,0.06,0.05,0.0,0.05,45.5,35.8,0.4444444444444444,166.0,4.5,42.0,2.4705882352941178,9.333333333333334
Jonny Evans,DF,Leicester City,38.0,3383.0,8.0,1.0,0.03,0.03,0.05,0.07,0.01,0.08,64.3,39.9,0.6458333333333334,382.0,5.5,128.0,3.3684210526315788,23.272727272727273
Federico Fernández,DF,Newcastle Utd,32.0,2620.0,8.0,0.0,0.07,0.07,0.14,0.06,0.01,0.07,52.9,31.6,0.64,297.0,5.0,102.0,3.1875,20.4
Timothy Fosu-Mensah,DF,Manchester Utd,3.0,136.0,1.0,0.0,0.0,0.0,0.0,0.04,0.08,0.13,25.0,26.3,1.0,7.0,4.5,7.0,2.3333333333333335,1.5555555555555556
Juan Foyth,DF,Tottenham,4.0,68.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,66.7,35.7,0.5714285714285714,8.0,4.5,3.0,0.75,0.6666666666666666
Ryan Fredericks,DF,West Ham,27.0,2237.0,7.0,0.0,0.0,0.12,0.12,0.01,0.1,0.1,50.8,29.8,0.5581395348837209,159.0,4.5,74.0,2.740740740740741,16.444444444444443
Christian Fuchs,DF,Leicester City,11.0,772.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,34.8,31.3,0.6,84.0,4.5,26.0,2.3636363636363638,5.777777777777778
Eric García,DF,Manchester City,13.0,793.0,1.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,54.5,27.0,0.3333333333333333,72.0,5.0,38.0,2.923076923076923,7.6
